website,photo,ready_to_link,ordernum,lat,lon,city,name_search,photo_version,zip,country_short_code,bad_standing,effective_date,status,address,active,state_code,show_on_map,kids,name,country,org_type,aid,full_state
http://www.clevelandcrossfit.com,https://profilepicsbucket.crossfit.com/38f40-A1039_2-184.jpg,1,296,41.507998,-81.6766099,Cleveland,crossfit,2,44114,US,0,2007-05-07T07:00:00Z,0,2218 Superior Ave E,1,OH,1,0,CrossFit CLE,United States,Commercial,1039,Ohio
http://www.Oceansidecrossfit.com,https://profilepicsbucket.crossfit.com/93c7a-A1040_6-184.jpg,1,300,33.206951,-117.295382,Oceanside,oceanside,6,92057,US,0,2007-05-16T07:00:00Z,0,4040 Calle Platino, Suite 120,1,CA,1,0,Oceanside CrossFit,United States,Commercial,1040,California
http://www.crossfitcentralli.com/,https://profilepicsbucket.crossfit.com/pukie.png,1,337,40.803978,-73.519764,Syosset,crossfit,0,11791,US,0,2007-05-16T07:00:00Z,0,140 Eileen Way,1,NY,1,0,CrossFit Syosset,United States,Commercial,1041,New York
http://www.crossfitcleveland.com,https://profilepicsbucket.crossfit.com/7698e-A1042_2-184.jpg,1,298,41.481673,-81.8391089,Cleveland,crossfit,2,44116,US,0,2007-05-16T07:00:00Z,0,1211 Allen Court,1,OH,1,0,CrossFit Cleveland,United States,Commercial,1042,Ohio
http://crossfitlegacy.com/,https://profilepicsbucket.crossfit.com/4b695-A1043_2-184.jpg,1,299,41.007555,-81.633892,Barberton,crossfit,2,44203,US,0,2007-05-26T07:00:00Z,0,1245 Wooster Road West,1,OH,1,0,CrossFit Legacy,United States,Commercial,1043,Ohio
http://www.crossfitvb.com/,https://profilepicsbucket.crossfit.com/bed8a-A1045_2-184.jpg,1,302,36.82682,-76.079038,Virginia Beach,crossfit,2,23452,US,0,2007-06-05T07:00:00Z,0,413 South Lynnhaven Rd Suite 106,1,VA,1,0,CrossFit Virginia Beach (VB),United States,Commercial,1045,Virginia
http://www.crossfitdelawarevalley.com/,https://profilepicsbucket.crossfit.com/b8d3b-A1082_2-184.jpg,1,307,39.9601744,-75.3357312,Broomall,crossfit,2,19008,US,0,2007-06-26T07:00:00Z,0,575 Abbott Drive,1,PA,1,1,CrossFit Delaware Valley,United States,Commercial,1082,Pennsylvania
http://crossfitnee.typepad.com,https://profilepicsbucket.crossfit.com/0353a-A751_2-184.jpg,1,319,54.9734892,-1.6746077,Newcastle upon Tyne,crossfit,2,NE15 6UN,GB,0,2007-07-01T07:00:00Z,0,West 15 Whickam View,1,,1,0,CrossFit North East England,United Kingdom,Commercial,751,
http://www.stonebrookstrength.com/,https://profilepicsbucket.crossfit.com/c7d84-A1084_8-184.jpg,1,310,49.5300547,-96.6910943,Steinbach,sbs,8,R5G 1T1,CA,0,2007-07-01T07:00:00Z,0,19D Highway #12,1,MB,1,0,SBS CrossFit,Canada,Commercial,1084,Manitoba
http://12labourscrossfitbwi.com/,https://profilepicsbucket.crossfit.com/pukie.png,1,309,39.161381,-76.6724009,Hanover,crossfit,0,21061,US,0,2007-07-10T07:00:00Z,0,501 McCormick Drive, Suite T-V,1,MD,1,0,CrossFit BWI,United States,Commercial,1086,Maryland
http://www.crossfitchesapeake.com/,https://profilepicsbucket.crossfit.com/ca926-A1087_1-184.jpg,1,776,36.7147719,-76.3170039,Chesapeake,crossfit,1,23323,US,0,2007-07-11T07:00:00Z,0,1009 Scenic Parkway Suite E,1,VA,1,1,CrossFit Chesapeake,United States,Commercial,1087,Virginia
http://crossfitbuffalo.com/,https://profilepicsbucket.crossfit.com/4d492-A1088_3-184.jpg,1,320,42.9187269,-78.756398,Cheektowaga,crossfit,3,14225,US,0,2007-07-17T07:00:00Z,0,3820 Union Rd,1,NY,1,0,CrossFit Buffalo,United States,Commercial,1088,New York
http://www.crossfitbodo.no/,https://profilepicsbucket.crossfit.com/c5da3-A1092_1-184.jpg,1,380,67.2704792,14.3401419,Bodo,crossfit,1,8003,NO,0,2007-07-22T07:00:00Z,0,Langstranda 5,1,,1,1,CrossFit Bodo,Norway,Commercial,1092,
http://www.crossfithardcore.com/,https://profilepicsbucket.crossfit.com/pukie.png,1,314,26.4067852,-80.1116399,Boca Raton,crossfit,0,33487,US,0,2007-07-26T07:00:00Z,0,1121 Holland Drive #1,1,FL,1,0,CrossFit HardCore,United States,Commercial,1095,Florida
http://ifymca.org/default.asp?ID=134,https://profilepicsbucket.crossfit.com/pukie.png,1,316,43.4881787,-112.03431,Idaho Falls,idaho,0,83402,US,0,2007-07-26T07:00:00Z,0,155 N Corner St,1,ID,1,0,Idaho Falls Family YMCA,United States,Commercial,1096,Idaho
